entry_date,entry_price,direction,units,stop,exit_date,exit_price,pnl,exit_reason
2018-04-02,63.01,long,306,59.7506,2018-06-14,66.89,1166.81,signal-flip
2018-06-14,66.89,short,349,69.7859,2018-06-26,69.7859,-1035.04,stop-loss
2018-07-06,73.8,long,257,69.9087,2018-07-16,69.9087,-1018.04,stop-loss
2018-08-09,66.81,short,272,70.449,2018-09-18,69.85,-845.88,signal-flip
2018-09-18,69.85,long,299,66.575,2018-10-23,66.575,-999.13,stop-loss
2018-10-31,65.31,short,260,69.0426,2019-01-29,53.31,3106.14,signal-flip
2019-01-29,53.31,long,244,49.2111,2019-05-24,58.63,1283.77,signal-flip
2019-05-24,58.63,short,304,61.968,2019-07-16,57.62,289.52,signal-flip
2019-07-16,57.62,long,275,53.927,2019-08-06,53.927,-1030.41,stop-loss
2019-08-09,54.5,short,248,58.5577,2019-09-16,58.5577,-1020.82,stop-loss
2019-09-18,58.11,long,195,53.0177,2019-10-02,53.0177,-1003.34,stop-loss
2019-10-14,53.59,short,246,57.5887,2019-11-13,57.12,-882.43,signal-flip
2019-11-13,57.12,long,311,53.9833,2020-01-27,53.9833,-992.29,stop-loss
2020-01-28,53.48,short,295,56.7574,2020-05-19,32.5,6179.51,signal-flip
2020-05-19,32.5,long,108,22.9732,2020-09-15,38.28,620.11,signal-flip
2020-09-15,38.28,short,354,41.2042,2020-10-20,41.2042,-1049.74,stop-loss
2020-11-25,45.71,long,310,42.407,2021-04-13,60.18,4467.04,signal-flip
2021-04-13,60.18,short,234,64.7458,2021-04-29,64.7458,-1083.54,stop-loss
2021-05-04,65.69,long,278,61.8916,2021-08-06,68.28,701.04,signal-flip
2021-08-06,68.28,short,240,72.7067,2021-09-21,70.56,-564.13,signal-flip
2021-09-21,70.56,long,267,66.5998,2021-11-30,66.5998,-1075.16,stop-loss
2021-11-30,66.18,short,147,73.3039,2021-12-23,73.3039,-1057.99,stop-loss
2022-01-12,82.64,long,201,77.4927,2022-04-25,98.54,3176.09,signal-flip
2022-04-25,98.54,short,92,110.1544,2022-05-13,110.1544,-1078.66,stop-loss
2022-05-17,112.4,long,96,101.3809,2022-07-05,101.3809,-1067.57,stop-loss
2022-07-08,104.79,short,90,116.3818,2022-10-28,87.9,1512.19,signal-flip
2022-10-28,87.9,long,152,80.9241,2022-11-18,80.9241,-1072.63,stop-loss
2022-11-28,77.24,short,135,85.0318,2023-01-26,81.01,-519.89,signal-flip
2023-01-26,81.01,long,192,75.5802,2023-02-03,75.5802,-1057.03,stop-loss
2023-02-23,75.39,short,200,80.5652,2023-04-04,80.5652,-1051.16,stop-loss
2023-04-17,80.83,long,208,75.9229,2023-04-26,75.9229,-1036.46,stop-loss
2023-05-12,70.04,short,183,75.5813,2023-07-12,75.5813,-1027.89,stop-loss
2023-07-13,76.89,long,223,72.392,2023-10-26,83.21,1390.8,signal-flip
2023-10-26,83.21,short,171,89.1431,2024-01-30,77.82,908.38,signal-flip
2024-01-30,77.82,long,207,72.8746,2024-02-02,72.8746,-1038.79,stop-loss
2024-05-09,79.26,short,272,82.986,2024-07-01,82.986,-1036.04,stop-loss
2024-07-03,83.88,long,290,80.411,2024-07-19,80.411,-1029.32,stop-loss
2024-08-05,72.94,short,217,77.5147,2024-08-12,77.5147,-1009.52,stop-loss
2024-10-24,70.19,long,186,64.8991,2024-11-07,72.36,390.16,signal-flip
2024-11-07,72.36,short,197,77.3576,2024-12-31,71.72,111.95,signal-flip
2024-12-31,71.72,long,311,68.5437,2025-02-20,72.57,241.78,signal-flip
2025-02-20,72.57,short,278,76.1292,2025-06-10,64.98,2091.95,signal-flip
2025-06-10,64.98,long,254,61.0038,2025-08-07,63.88,-295.63,signal-flip
2025-08-07,63.88,short,241,68.0594,2026-01-21,60.62,771.05,signal-flip
2026-01-21,60.62,long,282,57.0209,2026-03-27,99.64,10975.54,end-of-backtest
