Id,Title,Dict,Score
19,Opec reduces estimate on oil demand growth,"{""oil"": ""negative"", ""Opec"": ""neutral""}",7
20,Oil prices mixed ahead of US supply report,"{""Oil"": ""neutral""}",8
89,How will Shell-BG deal impact global energy market,"{""Shell-BG"": ""neutral"", ""energy market"": ""neutral""}",8
106,Sebi considers proposal on cross-currency futures pairs,"{""Sebi"": ""neutral""}",7
161,"RBI, bourses weigh dollar delivery in futures trade","{""RBI"": ""neutral"", ""bourses"": ""neutral""}",8
196,Britain FTSE regains traction as oil steadies,"{""oil"": ""neutral"", ""FTSE"": ""neutral""}",7
197,Experts' call on oil marketing companies,"{""oil marketing companies"": ""neutral""}",6
198,Oil ends steady in thin trade,"{""Oil"": ""neutral""}",6
199,Oil prices mixed in Asian trade,"{""Oil"": ""neutral""}",6
200,Oil takes breather in Asian trade,"{""Oil"": ""neutral""}",6
201,Oil prices turn mixed in Asian trade,"{""Oil"": ""neutral""}",7
229,NCDEX mulls relaunch of Brent contract soon,"{""NCDEX"": ""neutral"", ""Brent"": ""neutral""}",7
308,Kirloskar Engines India turns Kirloskar Oil Engines India,"{""Kirloskar Engines India"": ""neutral"", ""Kirloskar Oil Engines India"": ""neutral""}",8
340,Jignesh Shah quits Indian Energy Exchange board,"{""Indian Energy Exchange"": ""neutral""}",7
410,Ravi Ruia quits as Essar Energy chief,"{""Essar Energy"": ""neutral""}",7
427,Crude reserves filling to begin after March 2016,"{""Crude"": ""neutral""}",8
430,Commodities futures now part of supply chain,"{""Commodities futures"": ""neutral""}",7
470,Record open interest points to Brent price support,"{""Brent"": ""neutral""}",8
477,BGR Energy can test 370 levels: Mitesh Thacker,"{""BGR Energy"": ""neutral""}",8
548,China slaps restrictions on 7 securities and futures institutions,"{""China"": ""neutral""}",9
592,IEA says oil supply boost may defer market tightening,"{""IEA"": ""neutral""}",9
624,Mideast crude market rides out Iraq conflict for now,"{""Mideast crude market"": ""neutral""}",9
633,NCDEX seeks permission to do futures trading in sugar,"{""NCDEX"": ""neutral""}",9
658,OIL India is more sideways type stock: Ashwani Gujral,"{""OIL India"": ""neutral""}",9
659,Oil marketing companies to procure Rs 97-crore litre ethanol,"{""Oil marketing companies"": ""neutral""}",9
660,Oil steady around $114 as Iraq exports in focus,"{""Oil"": ""neutral""}",9
816,China sets stage for opening commodity futures to foreign investors,"{""China"": ""neutral"", ""commodity futures"": ""neutral""}",10
931,Nishi Vasudeva takes over as Hindustan Petroleum Corp Ltd chief,"{""Hindustan Petroleum Corp Ltd"": ""neutral""}",10
938,Oil Minister Dharmendra Pradhan approves appointment of new IOC Chairman,"{""IOC"": ""neutral""}",10
1018,What's happening in the oil market right now is 'unprecedented',"{""oil"": ""neutral""}",10
